id,file_name,file_name_date,file_name_player_name,file_name_pitcher_type,file_name_at_bat_number,file_name_result,inning,abs_id,nth_pitch_ab,out_count,strike_count,ball_count,is_rhp,at_bat_result,is_filename_result_consistent,has_stealing_attempt,pitch_type,pitch_release,is_obvious_off_zone,is_pitch_ended_catcher_want,has_swing,has_first_base_runner,has_second_base_runner,has_third_base_runner,has_visible_shift,score_diffrence,is_team_leading,weather,game_time,has_swing_intention,horizontal_ending,vertical_ending,is_swing_delayed,is_swing_early,is_whiff
19d0554e-4083-4589-8828-c15e2af729ac,,,,,,,,8,1,2,0,0,TRUE,,,FALSE,four_seam,overhand,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,FALSE,,,TRUE,middle,high,FALSE,FALSE,FALSE
6af920f3-0239-4bc6-ace0-8783ea18d661,,,,,,,,9,1,2,0,0,TRUE,,,FALSE,four_seam,overhand,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,,,FALSE,outside,low,FALSE,FALSE,FALSE
f0ef31b5-c833-476a-a42a-cbc8433a080d,,,,,,,,9,2,2,1,0,TRUE,,,FALSE,slider,overhand,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,FALSE,,,TRUE,outside,middle,TRUE,TRUE,TRUE
646f5206-b00b-4535-b9ef-7087b9454a95,,,,,,,,9,3,2,2,0,TRUE,,,FALSE,slider,overhand,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,,,FALSE,outside,low,FALSE,FALSE,FALSE
cba1a985-ceae-49bd-b57f-7cf97bea1286,,,,,,,,9,4,2,2,1,TRUE,,,FALSE,slider,overhand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,FALSE,,,TRUE,outside,low,FALSE,FALSE,TRUE
7838bcdb-cac0-43e0-8ce5-92beaecad66a,,,,,,,,10,1,0,0,0,FALSE,,,FALSE,four_seam,overhand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,,,FALSE,middle,low,FALSE,FALSE,FALSE
8162737b-a183-495b-842f-1557ebf46e47,,,,,,,,10,2,0,1,0,FALSE,,,FALSE,slider,overhand,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,,,TRUE,outside,high,FALSE,FALSE,FALSE
261b580f-f090-4df5-9a27-9a3711b3baca,,,,,,,,11,1,2,0,0,FALSE,,,FALSE,curve,overhand,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,,,FALSE,inside,middle,FALSE,FALSE,FALSE
1f5d856f-93c8-4200-85b5-ca45c11e2e6a,,,,,,,,11,2,2,1,0,FALSE,,,FALSE,four_seam,overhand,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,,,FALSE,middle,high,FALSE,FALSE,FALSE
7c99ebf3-5e8f-426d-9d12-683975adbbe7,,,,,,,,11,3,2,1,1,FALSE,,,FALSE,curve,overhand,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,,,FALSE,outside,high,FALSE,FALSE,FALSE
a9168676-808c-46c3-9c16-bd9577e568a7,,,,,,,,11,4,2,1,2,FALSE,,,FALSE,four_seam,overhand,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,,,FALSE,outside,high,FALSE,FALSE,FALSE
999bf212-29d3-41e4-9855-bde471c9509b,,,,,,,,11,5,2,1,3,FALSE,,,FALSE,four_seam,overhand,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,5,TRUE,,,TRUE,middle,middle,FALSE,FALSE,FALSE
fd162a4b-6614-4dc9-a985-e18d2d341493,,,,,,,,11,6,2,2,3,FALSE,,,FALSE,four_seam,overhand,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,5,TRUE,,,TRUE,middle,high,TRUE,FALSE,TRUE
f344bf2a-73b5-4375-aa99-8cbc1a182d86,,,,,,,,12,1,2,0,0,FALSE,,,FALSE,four_seam,overhand,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,,,TRUE,middle,high,FALSE,FALSE,FALSE
520aa003-1e28-443b-bba8-0c6def1f6bf4,,,,,,,,12,2,2,1,0,FALSE,,,FALSE,four_seam,overhand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,,,FALSE,middle,high,FALSE,FALSE,FALSE
0bdb6fd0-a786-4481-ac5e-0e29a420f43c,,,,,,,,12,3,2,1,1,FALSE,,,FALSE,slider,overhand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,,,FALSE,inside,low,FALSE,FALSE,FALSE
585edd23-c902-4994-ab0b-9c9610e99f43,,,,,,,,12,4,2,1,2,FALSE,,,FALSE,slider,overhand,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,,,TRUE,outside,high,FALSE,FALSE,FALSE
b1deb41d-b41a-4599-b4da-96d05d45c015,,,,,,,,12,5,2,2,2,FALSE,,,FALSE,changeup,overhand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,,,TRUE,inside,low,FALSE,FALSE,FALSE
cf05c7da-144a-4beb-b01c-5901b08a3b1a,,,,,,,,12,6,2,2,2,FALSE,,,FALSE,curve,overhand,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,,,TRUE,outside,low,FALSE,FALSE,FALSE
1a0d9fea-0a7a-4bc5-9f43-898f2ba0063a,,,,,,,,12,7,2,2,2,FALSE,,,FALSE,four_seam,overhand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,,,FALSE,outside,high,FALSE,FALSE,FALSE
f7f7642b-b41e-486e-aac2-dcc811cf9926,,,,,,,,12,8,2,2,3,FALSE,,,FALSE,changeup,overhand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,,,TRUE,outside,low,FALSE,FALSE,TRUE
06c247ff-0ae7-49d1-98f6-e9becbcba459,,,,,,,,13,2,2,1,0,TRUE,,,FALSE,slider,overhand,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,2,TRUE,,,TRUE,outside,high,TRUE,FALSE,TRUE
e28b4b8a-668f-425a-9b47-d616652600fd,,,,,,,,13,3,2,2,0,TRUE,,,TRUE,slider,overhand,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,TRUE,,,FALSE,outside,low,FALSE,FALSE,FALSE
5aba4c03-0946-42fc-8bfe-a63544b76af3,,,,,,,,13,4,2,2,1,TRUE,,,FALSE,slider,overhand,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,,,TRUE,outside,low,TRUE,FALSE,TRUE
336a346b-3be9-48a8-81d9-2a511797b587,,,,,,,,14,1,0,0,0,FALSE,,,FALSE,slider,side_arm,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,,,FALSE,outside,low,FALSE,FALSE,FALSE
2f3ed65b-ea13-4bc3-ae70-c4b79d5d9b72,,,,,,,,14,2,0,1,0,FALSE,,,FALSE,four_seam,side_arm,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,,,TRUE,outside,low,FALSE,FALSE,FALSE
6a8d1c80-d47b-44e3-a01d-4dd619b4d849,,,,,,,,14,3,0,1,1,FALSE,,,FALSE,four_seam,side_arm,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,TRUE,,,TRUE,outside,middle,FALSE,FALSE,FALSE
2dfa7b7d-3cc7-4855-ab7c-b1547464bc2e,,,,,,,,15,1,0,0,0,TRUE,,,FALSE,slider,overhand,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9,TRUE,,,TRUE,outside,low,FALSE,FALSE,FALSE
ec914906-a51b-4f81-b6c8-dd82c52ca595,,,,,,,,15,2,0,0,1,TRUE,,,FALSE,four_seam,overhand,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,9,TRUE,,,TRUE,inside,high,FALSE,FALSE,TRUE
05d8cd8a-bb53-4590-a641-fbd6d76ce299,,,,,,,,15,3,0,1,1,TRUE,,,FALSE,slider,overhand,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,9,TRUE,,,TRUE,middle,high,FALSE,FALSE,FALSE
91a6edbe-f4d9-4adc-8ba1-e4a32be9baea,,,,,,,,16,2,0,0,1,TRUE,,,FALSE,sinker,overhand,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,FALSE,,,TRUE,middle,middle,FALSE,FALSE,FALSE
6226671e-f3ad-40d7-9b8d-cfacce11de85,,,,,,,,16,3,0,1,1,TRUE,,,FALSE,slider,overhand,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,FALSE,,,TRUE,outside,low,FALSE,FALSE,FALSE
48d7bbe1-cdd7-4da9-9e53-6047e92bee6d,,,,,,,,16,4,0,1,2,TRUE,,,FALSE,sinker,overhand,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3,FALSE,,,FALSE,inside,high,FALSE,FALSE,FALSE
45d2a47a-41f6-46c8-a003-cef7e27b0b23,,,,,,,,16,5,0,2,2,TRUE,,,FALSE,slider,overhand,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,4_2B,3,FALSE,,,TRUE,outside,low,FALSE,FALSE,FALSE
8a7aa15a-2ea0-43dc-b4af-e8550844bb70,,,,,,,,17,1,2,0,0,TRUE,,,FALSE,changeup,overhand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,,,FALSE,inside,low,FALSE,FALSE,FALSE
1bad4858-c4ab-481a-9f75-f4b130c34498,,,,,,,,17,2,2,0,1,TRUE,,,FALSE,sinker,overhand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,,,FALSE,outside,high,FALSE,FALSE,FALSE
1cb1f47c-9653-4511-8407-8e346703d280,,,,,,,,17,3,2,1,1,TRUE,,,FALSE,changeup,overhand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,,,FALSE,inside,high,FALSE,FALSE,FALSE
60282cb1-e7e1-48df-9183-59b25fc35a44,,,,,,,,17,4,2,1,2,TRUE,,,FALSE,slider,overhand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4,TRUE,,,TRUE,inside,middle,FALSE,FALSE,FALSE
c3721303-b826-4f7b-9d71-7205bce96b29,,,,,,,,22,1,1,0,0,TRUE,,,FALSE,four_seam,overhand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,,,FALSE,outside,low,FALSE,FALSE,FALSE
2eaa7dfa-55c6-4a39-898c-59e230280175,,,,,,,,22,2,1,0,1,TRUE,,,FALSE,four_seam,overhand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,,,TRUE,outside,low,FALSE,FALSE,FALSE
ded9dd5b-6396-4f3f-beec-6964b24e7a92,,,,,,,,23,1,2,0,0,TRUE,,,FALSE,slider,overhand,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,,,FALSE,outside,low,FALSE,FALSE,FALSE
a37a2ab3-3f60-4737-8834-2a9e47866382,,,,,,,,23,2,2,0,1,TRUE,,,FALSE,slider,overhand,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE,,,TRUE,outside,low,FALSE,FALSE,TRUE
823e1a94-8dc2-4a0c-891c-f69554277cde,,,,,,,,23,3,2,1,1,TRUE,,,FALSE,slider,overhand,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,,,FALSE,outside,low,FALSE,FALSE,FALSE
76ac2963-24c7-4384-bf16-1beae52770a3,,,,,,,,23,4,2,1,2,TRUE,,,FALSE,four_seam,overhand,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,,,FALSE,inside,high,FALSE,FALSE,FALSE
521385f1-6247-4fd3-ad43-69762e18d1dc,,,,,,,,23,5,2,2,2,TRUE,,,FALSE,four_seam,overhand,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,,,FALSE,outside,low,FALSE,FALSE,FALSE
c030aded-de8d-470c-931a-c7b393f03532,,,,,,,,23,6,2,2,3,TRUE,,,FALSE,slider,overhand,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,,,FALSE,outside,low,FALSE,FALSE,FALSE
6267bba1-24cd-43c0-88e4-93dad35f292e,,,,,,,,27,2,1,0,1,FALSE,,,FALSE,four_seam,overhand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,,,FALSE,outside,low,FALSE,FALSE,FALSE
4d63c779-d582-424a-bc49-e3a0cd2e5106,,,,,,,,27,3,1,1,1,FALSE,,,FALSE,cutter,overhand,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,FALSE,,,TRUE,outside,high,FALSE,FALSE,FALSE
b064f220-140c-4387-97cd-48eb45d927d5,,,,,,,,27,4,1,2,1,FALSE,,,FALSE,four_seam,overhand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,,,TRUE,outside,high,FALSE,FALSE,FALSE
b67373f6-bb98-4378-ae3f-f3643efa0adf,,,,,,,,27,5,1,2,2,FALSE,,,FALSE,cutter,overhand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,,,FALSE,outside,high,FALSE,FALSE,FALSE
7162e7f6-3a54-45e3-b058-dba7d2fb31e7,,,,,,,,27,6,1,2,3,FALSE,,,FALSE,four_seam,overhand,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,FALSE,,,TRUE,middle,high,FALSE,FALSE,FALSE
0926346f-c754-4101-b504-71ce258d4656,,,,,,,,30,1,2,0,0,FALSE,,,FALSE,four_seam,overhand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,,TRUE,outside,middle,FALSE,FALSE,FALSE
4b45cdc4-cef6-45c3-b73d-e88417a9fa03,,,,,,,,30,2,2,1,0,FALSE,,,FALSE,four_seam,overhand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,,FALSE,inside,high,FALSE,FALSE,FALSE
cdc78274-e52a-43ca-acf0-471397289077,,,,,,,,30,3,2,2,0,FALSE,,,FALSE,cutter,overhand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,,TRUE,outside,high,TRUE,FALSE,TRUE
2333c4f7-524d-489a-9cdf-7745cc7f1ce8,,,,,,,,34,1,0,0,0,TRUE,,,FALSE,changeup,overhand,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,,,TRUE,inside,middle,FALSE,FALSE,FALSE
d518f83e-1bf1-4d3f-b87b-45524fca066e,,,,,,,,37,1,0,0,0,FALSE,,,FALSE,four_seam,overhand,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,3,FALSE,,,TRUE,inside,high,FALSE,FALSE,FALSE
66b29fdf-d486-43da-bc17-8947003a875a,,,,,,,,39,1,0,0,0,TRUE,,,FALSE,four_seam,overhand,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,FALSE,,,FALSE,inside,high,FALSE,FALSE,FALSE
77991a8d-e1a4-4130-bee3-b9349a1b8e39,,,,,,,,39,2,0,0,1,TRUE,,,FALSE,slider,overhand,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3,FALSE,,,TRUE,middle,low,TRUE,FALSE,TRUE
5cc63483-7e93-4b0b-967d-d136ca402fd9,,,,,,,,39,3,0,1,1,TRUE,,,FALSE,slider,overhand,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3,FALSE,,,TRUE,middle,high,FALSE,FALSE,FALSE
77b6984a-e478-41c9-b12c-e83abc4f76b6,,,,,,,,41,1,0,0,0,TRUE,,,FALSE,slider,overhand,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,6,TRUE,,,TRUE,outside,middle,FALSE,FALSE,TRUE
7cf561c0-e16d-4d49-9a1a-2edcc0aea85e,,,,,,,,41,2,0,1,0,TRUE,,,FALSE,four_seam,overhand,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,6,TRUE,,,TRUE,middle,low,FALSE,FALSE,FALSE
9807fc1c-ea31-4328-a495-f84380629bf6,,,,,,,,45,1,2,0,0,TRUE,,,FALSE,sinker,overhand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,,,FALSE,outside,low,FALSE,FALSE,FALSE
29809a27-d49b-49d6-b8cd-4a3702d7f209,,,,,,,,45,2,2,1,0,TRUE,,,FALSE,changeup,overhand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,TRUE,,,TRUE,middle,low,FALSE,FALSE,FALSE
c4afda11-88a6-4354-90f4-c3eac032e799,,,,,,,,45,3,2,2,0,TRUE,,,FALSE,slider,overhand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,TRUE,,,TRUE,outside,low,FALSE,FALSE,FALSE
f0a9aa87-2e38-4289-b7f6-41043419b68c,,,,,,,,45,4,2,2,0,TRUE,,,FALSE,changeup,overhand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,,,FALSE,middle,low,FALSE,FALSE,FALSE
0c1df054-a3fb-4965-a11a-c5d59410f6e8,,,,,,,,45,5,2,2,1,TRUE,,,FALSE,four_seam,overhand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,,,FALSE,inside,high,FALSE,FALSE,FALSE
a480bdc7-746b-4464-b7c9-1c6cb868cbc3,,,,,,,,45,6,2,2,2,TRUE,,,FALSE,slider,overhand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,TRUE,,,TRUE,outside,middle,FALSE,FALSE,FALSE
