id,abs_id,nth_pitch_ab,out_count,strike_count,ball_count,is_rhp,has_stealing_attempt,pitch_type,pitch_release,is_obvious_off_zone,is_pitch_ended_catcher_want,has_swing,has_first_base_runner,has_second_base_runner,has_third_base_runner,has_visible_shift,score_diffrence,is_team_leading,has_swing_intention,horizontal_ending,vertical_ending,is_swing_delayed,is_swing_early,is_whiff,any_on_base,base_combination
91a6edbe-f4d9-4adc-8ba1-e4a32be9baea,16,2,0,0,1,True,False,sinker,overhand,False,True,True,True,False,False,FALSE,3,False,True,middle,middle,False,False,False,True,100
6226671e-f3ad-40d7-9b8d-cfacce11de85,16,3,0,1,1,True,False,slider,overhand,True,False,False,True,False,False,FALSE,3,False,True,outside,low,False,False,False,True,100
48d7bbe1-cdd7-4da9-9e53-6047e92bee6d,16,4,0,1,2,True,False,sinker,overhand,False,True,False,True,False,False,FALSE,3,False,False,inside,high,False,False,False,True,100
45d2a47a-41f6-46c8-a003-cef7e27b0b23,16,5,0,2,2,True,False,slider,overhand,False,True,True,True,False,False,4_2B,3,False,True,outside,low,False,False,False,True,100
8a7aa15a-2ea0-43dc-b4af-e8550844bb70,17,1,2,0,0,True,False,changeup,overhand,False,False,False,False,False,False,FALSE,4,True,False,inside,low,False,False,False,False,000
1bad4858-c4ab-481a-9f75-f4b130c34498,17,2,2,0,1,True,False,sinker,overhand,False,False,False,False,False,False,FALSE,4,True,False,outside,high,False,False,False,False,000
1cb1f47c-9653-4511-8407-8e346703d280,17,3,2,1,1,True,False,changeup,overhand,True,False,False,False,False,False,FALSE,4,True,False,inside,high,False,False,False,False,000
60282cb1-e7e1-48df-9183-59b25fc35a44,17,4,2,1,2,True,False,slider,overhand,False,True,True,False,False,False,FALSE,4,True,True,inside,middle,False,False,False,False,000
c3721303-b826-4f7b-9d71-7205bce96b29,22,1,1,0,0,True,False,four_seam,overhand,False,True,False,False,False,False,FALSE,1,False,False,outside,low,False,False,False,False,000
2eaa7dfa-55c6-4a39-898c-59e230280175,22,2,1,0,1,True,False,four_seam,overhand,False,True,True,False,False,False,FALSE,1,False,True,outside,low,False,False,False,False,000
ded9dd5b-6396-4f3f-beec-6964b24e7a92,23,1,2,0,0,True,False,slider,overhand,True,False,False,False,False,True,FALSE,2,False,False,outside,low,False,False,False,True,001
